DOI	Title	Authors	Abstract	Journal	Date
10.1111/ppe.12615	acetaminophen use pregnancy risk attention deficit hyperactivity disorder causal association bias	Masarwa R; Platt RW; Filion KB	background association acetaminophen use pregnancy development attention deficit hyperactivity disorder adhd offspring may be due to bias objective primary objective wa to assess role potential unmeasured confounding estimation association acetaminophen use pregnancy risk adhd bias analysis secondary objective wa to assess role selection bias exposure misclassification data source searched medline embase scopus cochrane library up to december study selection data extraction included observational study examining association acetaminophen use pregnancy risk adhd synthesis data study using model conducted bias analysis to study that did not adjust important confounders to explore systematic error related to unmeasured confounding selection bias exposure misclassification result search resulted seven study included when adjusted estimate were pooled study risk ratio rr adhd wa confidence interval ci sensitivity analysis unmeasured confounding showed confounder rr scale would reduce to proportion study true effect size rr gt unmeasured confounding bias analysis decreased point estimate five seven study increased two study suggesting observed association could be confounded parental adhd unadjusted risk ratio bcrrs were rr bcrr rr bcrr rr bcrr rr bcrr rr bcrr rr bcrr rr bcrr conclusion bias analysis suggests previously reported association acetaminophen use pregnancy increased risk adhd offspring may be due to unmeasured confounding ability to conclude causal association is limited	Paediatr Perinat Epidemiol	01/05/2020
10.1038/s41586-025-09574-y	is required maintaining mesenchymal cell fate pancreatic cancer	Li H; Lan L; Chen H; Zaw Thin M; Ps H; Nelson JK; Evans IM; Ruiz EJ; Cheng R; Tran L; Allen M; Ma J; Yi T; Wang C; He Y; Guppy N; Sadanandam A; Lin SZ; Zhang C; Behrens A	elucidating complex network communication tumour cell is central to understanding cell fate decision progression pancreatic ductal adenocarcinoma pdac previously showed constant suppression bmp activity bmp antagonist secreted mesenchymal pdac cell is essential maintaining fate epithelial pdac cell here identify also known osteopontin key regulator mesenchymal cell fate pancreatic cancer proteomic analysis plasma patient pdac showed is substantially upregulated disease inactivation led to delay tumorigenesis mouse pdac model abolished metastasis formation wa expressed epithelial pdac cell inactivation resulted conversion mesenchymal to epithelial pdac cell mechanistically receptor mesenchymal pdac cell to induce expression inhibition bmp signalling wa required expression epithelial cell thereby forming intercellular regulatory loop concomitant inactivation reverted epithelial phenotype knockout to fully mesenchymal pdac conversely heterozygosity combined knockout resulted pdac histology result that confirmed direct antagonistic function factor hence mesenchymal epithelial pdac cell fate are determined reciprocal paracrine regulation soluble factor	Nature	24/09/2025
10.1038/s42255-025-01379-7	cholesterol metabolic reprogramming mediates chronic neuroinflammation hinders neurorestoration following stroke	Zhao Q; Li J; Feng J; Wang X; Liu Y; Wang F; Liu L; Jin B; Lin M; Wang YC; Guo X; Chen J; Hao J	chronic neuroinflammation is major obstacle to recovery underlying mechanism particularly link prolonged microglial activation cholesterol metabolism are not fully known here show ischaemic injury induces persistent microglial activation that perpetuates chronic inflammation leading to microglial cholesterol accumulation metabolic reprogramming using rna sequencing identified distinct foamy microglia cluster characterized extensive reprogramming cholesterol metabolism furthermore direct intracerebral free cholesterol cholesterol crystal infusion recapitulated sustained microglial activation directly linking aberrant cholesterol metabolism to prolonged neuroinflammatory response therapeutically demonstrate reducing microglial cholesterol overload genetic pharmacological activation male mouse promotes white matter repair functional recovery finding highlight microglial cholesterol metabolism key driver inflammation offering therapeutic strategy targeting cholesterol metabolism to mitigate brain damage promote neurorestoration potentially improving disability outcome	Nat Metab	23/09/2025
10.1186/s12933-025-02921-3	association index combined body shape index cardiovascular mortality individual syndrome stage finding two prospective cohort	Chen M; Guo J; Shangguan Y; Sun Z; He X; Tu Q; Yan Q	background tyg index measure insulin resistance ha been confirmed to be associated adverse clinical outcome new composite indicator body type index integrating tyg index body type index ha demonstrated superior efficacy predicting risk cardiovascular death general population compared to traditional indicator study aim to deeply explore association mortality cvd mortality population cardiovascular syndrome ckm stage analysis will be conducted multiple dimension such intensity indicator correlation potential influencing mechanism order to comprehensively reveal relationship two result analyzed data participant nhanes cohort using cox proportional hazard model restricted cubic spline function result indicated elevated value were independently associated higher risk mortality hr ci cardiovascular mortality hr ci receiver operating characteristic roc curve concordance index evaluation demonstrated yielded more accurate prognostic performance other metric area curve auc indicator reached prediction mortality risk year prediction cardiovascular mortality risk external validation using charls data confirmed robustness finding predicting mortality conclusion individual ckm stage demonstrates stronger association mortality risk superior predictive ability compared other metric performance suggests potential role capturing variation diverse clinical subgroup informing optimal timing preventive intervention	Cardiovasc Diabetol	23/09/2025
10.1016/S1474-4422(25)00270-4	diagnosis multiple sclerosis revision mcdonald criterion	Montalban X; Lebrun-Frénay C; Oh J; Arrambide G; Moccia M; Pia Amato M; Amezcua L; Banwell B; Bar-Or A; Barkhof F; Butzkueven H; Ciccarelli O; Chataway J; Cohen JA; Comi G; Correale J; Deisenhammer F; Filippi M; Fiol J; Freedman MS; Fujihara K; Granziera C; Green AJ; Hartung HP; Hellwig K; Kappos L; Kimbrough D; Killestein J; Lublin F; Marignier R; Ann Marrie R; Miller A; Otero-Romero S; Ontaneda D; Ramanathan S; Reich D; Rocca MA; Rovira À; Saidha S; Salter A; Sastre-Garriga J; Saylor D; Solomon AJ; Sormani MP; Stankoff B; Tintore M; Tremlett H; Van der Walt A; Viswanathan S; Wiendl H; Wildemann B; Yamout B; Zaratin P; Calabresi PA; Coetzee T; Thompson AJ	advance understanding multiple sclerosis development biomarkers pathophysiology prompted substantial revision mcdonald diagnostic criterion new mcdonald criterion provide unified approach diagnosing multiple sclerosis individual relapsing progressive course lifespan ie paediatric to presentation optic nerve can now serve fifth anatomical location cns diagnosis central vein sign paramagnetic rim lesion kappa chain concentration csf can be used when available to provide supportive evidence confer specificity diagnosis multiple sclerosis specific situation certain case radiologically isolated syndrome neurological symptom that do not constitute clear attack progression disability can fulfil criterion multiple sclerosis diagnosis also provide guidance diagnosis multiple sclerosis older individual year comorbidities revised criterion should expedite diagnosis multiple sclerosis maintaining specificity	Lancet Neurol	01/10/2025
10.3390/ijms21030969	precision psychiatry application pharmacogenomics artificial intelligence machine learning approach	Lin E; Lin CH; Lane HY	growing body evidence now suggests precision psychiatry interdisciplinary field psychiatry precision medicine pharmacogenomics serf indispensable foundation medical practice offering accurate medication accurate dose accurate time to patient psychiatric disorder light latest advancement artificial intelligence machine learning technique numerous biomarkers genetic locus associated psychiatric disease relevant treatment are being discovered precision psychiatry research employing neuroimaging review focus latest development precision psychiatry research using artificial intelligence machine learning approach such deep learning neural network algorithm together neuroimaging data firstly review precision psychiatry pharmacogenomics study that leverage various artificial intelligence machine learning technique to assess treatment prediction prognosis prediction diagnosis prediction detection potential biomarkers addition describe potential biomarkers genetic locus that have been discovered to be associated psychiatric disease relevant treatment moreover outline limitation regard to previous precision psychiatry pharmacogenomics study finally present discussion direction challenge future research	Int J Mol Sci	01/02/2020
10.1177/1060028015606469	association prenatal acetaminophen exposure future risk attention disorder child	Hoover RM; Hayes VA; Erramouspe J	objective to evaluate effect prenatal acetaminophen exposure future development attention disorder adhd child data source literature search medline to june international pharmaceutical abstract to june cochrane database publication june prospective clinical trial assessing relationship prenatal acetaminophen exposure development attention deficit disorder hyperactivity study selection data extraction study comparing maternal acetaminophen use pregnancy to development adhd behavior offspring age year data synthesis four study examining effect prenatal acetaminophen exposure subsequent adhd behavior were identified one early study found link to adhd behavior other study found statistically significant correlation most prominent being study finding higher risk using adhd medication hazard ratio ci having behavior age year determined strength difficulty questionnaire risk ratio ci child whose mother used acetaminophen pregnancy conclusion there doe appear to be mild correlation prenatal acetaminophen use development adhd symptom child current data do not provide sufficient evidence prenatal acetaminophen exposure lead to development adhd symptom late life acetaminophen is preferred option pain management pregnancy when compared other medication such nonsteroidal drug opioids pyretic pain relief	Ann Pharmacother	01/12/2015
10.1007/s10549-022-06562-y	feasibility using autologous breast cancer vaccine to induce immunity patient stage metastatic breast cancer	Anderson KS; Erick TK; Chen M; Daley H; Campbell M; Colson Y; Mihm M; Zakka LR; Hopper M; Barry W; Winer EP; Dranoff G; Overmoyer B	purpose antigenic target immunity role vaccination breast cancer are unknown performed phase study autologous breast cancer vaccine patient metastatic stage breast cancer method tumor cell patient metastatic stage disease were transduced adenoviral vector encoding then irradiated twelve seven patient metastatic stage disease respectively received weekly vaccination three week followed other week disease progression vaccine supply wa exhausted metastatic six total vaccine dos were administered stage result patient metastatic disease who received vaccination eight had progressive disease two month three had stable disease month one ha had evidence disease year patient stage disease five died metastatic disease year start vaccination median year two are alive september toxicity included injection site reaction fatigue fever upper respiratory symptom joint pain nausea edema four five evaluable patient metastatic disease developed skin reaction immune cell infiltration fifth injection unmodified irradiated tumor cell conclusion conclude tumor cell can be harvested patient metastatic stage breast cancer to prepare autologous vaccine that induce coordinated immune response limited toxicity trial registration date registration april april	Breast Cancer Res Treat	01/07/2022
10.1016/j.cmet.2025.08.009	glutamine competition tumor macrophage dictate immunotherapy efficacy breast cancer	Xiao Y （肖毅）; Xu Y （徐颖）; Wang H （王晗）; Yang F （杨帆）; Ding XH （丁晓洪）; Fu T （傅彤）; Chen L （陈力）; Jin X （金希）; Zhao YX （赵雅鑫）; Wang Y （王莹）; Chen F （陈芬芳）; Shao ZM （邵志敏）; Jiang YZ （江一舟）	immunotherapy demonstrates limited efficacy breast cancer tnbc influenced intricate metabolic interaction tumor microenvironment here developed rna sequencing immunotherapy cohort spatial transcriptomics cohort to elucidate metabolic crosstalk associated therapeutic efficacy tnbc illustrated heme binding protein high tumor cell featured active glutathione metabolism macrophage characterized oxidative metabolism indicated immunotherapy efficacy were quantitatively spatially negatively correlated glutamine cell type induced phenomenon mechanistically disrupted cytoplasmic phase separation promoting nuclear translocation to upregulate glutathione expression glutamine consumption tumor cell metabolic shift induced ferroptosis macrophage impairing antitumor immunity utilization inhibitor sensitized tnbc to immunotherapy collectively delineate metabolic checkpoint governed axis pioneer immunometabolism paradigm evaluating immunotherapeutic vulnerability	Cell Metab	23/09/2025
10.1007/s00421-010-1658-5	association basal serum bdnf cardiorespiratory fitness cardiovascular disease risk factor untrained healthy korean men	Jung SH; Kim J; Davis JM; Blair SN; Cho HC	evidence suggests serum neurotrophic factor serum bdnf can be affected cardiorespiratory fitness crf relationship is far clear recent report show inverse relationship serum bdnf crf healthy individual other study suggest possible association serum bdnf cardiovascular disease however possible interaction serum bdnf crf cardiovascular disease risk ha not been studied purpose study wa to examine association serum bdnf crf cardiovascular disease risk factor healthy men investigation involved large sample men age range year who live central area south korea were recruited preventive health study study showed significant inverse relationship serum bdnf relative vo max lt heart rate reserve lt serum bdnf wa positively correlated body mass index lt total cholesterol lt triglyceride lt data suggest serum bdnf may be associated effect increased crf cardiovascular disease however more research is clearly needed determination to what extent serum bdnf may be responsible health benefit associated crf	Eur J Appl Physiol	01/02/2011
